Ram,Weight,Touchscreen,ppi,HDD,SSD
4,1.45,0,157.3505121487356,0,32
8,1.9,0,100.45466986113652,500,0
4,1.49,0,165.6321180513006,0,128
16,1.93,0,141.21199808219862,0,256
4,1.26,0,135.0942111925629,0,0
16,4.5,0,127.33567457123112,1000,128
16,3.78,0,127.33567457123112,1000,256
12,1.4,0,157.3505121487356,0,256
12,2.2,1,100.45466986113652,1000,0
8,2.73,0,127.33567457123112,1000,128
8,2.2,1,100.45466986113652,1000,0
12,2.2,0,141.21199808219862,0,512
4,1.39,1,135.0942111925629,0,128
16,2.5,0,141.21199808219862,1000,128
4,2.8,0,127.33567457123112,500,0
8,2.29,0,100.45466986113652,1000,0
8,1.37,1,165.6321180513006,0,512
8,1.7,0,157.3505121487356,0,256
8,1.34,1,176.23257360658386,0,256
8,2.06,1,141.21199808219862,0,256
8,1.84,0,141.21199808219862,0,256
4,2.1,0,100.45466986113652,500,0
4,1.6,0,157.3505121487356,0,0
16,4.14,0,127.33567457123112,1000,128
4,2.18,0,100.45466986113652,1000,0
16,1.8,0,282.42399616439724,2000,256
8,2.2,0,141.21199808219862,0,256
6,2.4,0,141.21199808219862,1000,0
8,2.0,1,141.21199808219862,0,256
4,1.6,0,111.93520355955212,0,0
32,2.5,0,282.42399616439724,0,1000
16,2.59,0,141.21199808219862,1000,0
4,2.18,0,100.45466986113652,1000,0
4,2.25,0,100.45466986113652,1000,0
4,1.93,0,100.45466986113652,500,0
8,3.0,0,127.33567457123112,1000,128
4,2.18,0,141.21199808219862,0,128
8,1.84,0,141.21199808219862,0,512
16,2.94,0,141.21199808219862,1000,256
4,1.25,1,135.0942111925629,0,0
8,2.31,0,111.93520355955212,0,256
8,1.65,0,157.3505121487356,0,256
4,2.2,0,141.21199808219862,1000,0
8,2.2,0,100.45466986113652,0,256
4,1.88,0,100.45466986113652,500,0
8,2.2,0,141.21199808219862,1000,0
2,1.4,0,157.3505121487356,0,0
4,2.2,0,141.21199808219862,0,128
6,1.5,1,165.6321180513006,1000,0
8,2.0,0,141.21199808219862,0,256
16,1.1,0,157.3505121487356,0,512
16,2.62,0,141.21199808219862,1000,256
4,1.8,0,141.21199808219862,0,256
4,2.2,0,141.21199808219862,1000,0
8,2.0,0,100.45466986113652,1000,0
8,1.99,0,141.21199808219862,1000,0
8,1.23,1,276.053530085501,0,256
2,1.42,0,111.93520355955212,0,0
8,1.37,1,165.6321180513006,0,256
16,2.06,1,282.42399616439724,0,1000
8,2.5,0,141.21199808219862,1000,128
8,2.6,0,107.98564559226952,1000,0
16,1.14,0,157.3505121487356,0,512
8,2.5,0,141.21199808219862,1000,0
4,2.4,0,100.45466986113652,500,0
4,1.43,0,111.93520355955212,0,0
8,1.8,0,157.3505121487356,0,256
16,1.95,0,157.3505121487356,0,256
8,1.2,0,165.6321180513006,0,256
8,1.36,0,176.23257360658386,0,256
32,3.8,0,127.33567457123112,0,512
8,2.4,0,141.21199808219862,1000,0
8,1.2,0,165.6321180513006,0,256
8,2.2,0,141.21199808219862,1000,128
4,1.86,0,100.45466986113652,500,0
8,2.0,0,141.21199808219862,500,0
8,2.2,0,141.21199808219862,0,256
16,2.2,0,141.21199808219862,2000,256
8,3.31,0,141.21199808219862,1000,128
32,4.42,0,254.67134914246225,1000,512
8,1.56,0,157.3505121487356,0,256
4,2.2,0,100.45466986113652,500,0
4,2.2,0,141.21199808219862,500,0
6,2.04,0,141.21199808219862,1000,0
8,2.7,0,127.33567457123112,1000,128
4,2.1,0,100.45466986113652,0,128
8,2.06,0,141.21199808219862,1000,0
8,2.1,0,141.21199808219862,1000,0
8,2.0,0,141.21199808219862,0,256
4,2.1,0,100.45466986113652,0,128
8,1.252,1,200.84255993695703,0,256
8,1.9,0,141.21199808219862,1000,128
8,1.3,1,165.6321180513006,0,256
4,2.2,0,100.45466986113652,0,128
4,1.63,1,157.3505121487356,0,128
16,2.4,0,141.21199808219862,1000,256
8,1.1,0,157.3505121487356,0,256
8,1.4,1,135.0942111925629,0,0
8,1.09,0,141.21199808219862,0,512
16,2.5,0,141.21199808219862,0,256
8,2.2,0,141.21199808219862,0,256
4,1.86,0,100.45466986113652,0,128
